代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
ST038Q08NA,ST038,遭受霸凌,Students' exposure to bullying,過去 12 個月內，你在學校多常遇到以下情況？,"During the past 12 months, how often have you had the following experiences in school?",其他同學散布關於我的惡意謠言。,Other students spread nasty rumours about me.,從不或幾乎從不 | 一年幾次 | 一個月幾次 | 一週一次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,從不或幾乎從不=86.59 | 一年幾次=9.29 | 一個月幾次=2.71 | 一週一次以上=1.41,從不或幾乎從不=73.33 | 一年幾次=18.05 | 一個月幾次=5.2 | 一週一次以上=3.42,Table I.B1.4.138
ST038Q12DA,ST038,遭受霸凌,Students' exposure to bullying,過去 12 個月內，你在學校多常遇到以下情況？,"During the past 12 months, how often have you had the following experiences in school?",未經我同意，讓我難受的個人資訊被公開在網路上。,Information about me that was upsetting was published online without my consent.,從不或幾乎從不 | 一年幾次 | 一個月幾次 | 一週一次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | A few times a year | A few times a month | Once a week or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,從不或幾乎從不=92.6 | 一年幾次=5.55 | 一個月幾次=1.15 | 一週一次以上=0.69,從不或幾乎從不=90.78 | 一年幾次=6.07 | 一個月幾次=1.5 | 一週一次以上=1.66,Table I.B1.4.138
ST062Q01TA,ST062,,,在最近兩個完整的上學週裡，以下情況發生過幾次？,"In the last two full weeks of school, how often did the following things occur?",我〈蹺掉〉一整天的課,I <skipped> a whole school day,從不 | 一到兩次 | 三到四次 | 五次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | One or two times | Three or four times | Five or more times | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
ST062Q02TA,ST062,,,在最近兩個完整的上學週裡，以下情況發生過幾次？,"In the last two full weeks of school, how often did the following things occur?",我〈蹺掉〉部分課堂,I <skipped> some classes,從不 | 一到兩次 | 三到四次 | 五次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | One or two times | Three or four times | Five or more times | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
ST062Q03TA,ST062,,,在最近兩個完整的上學週裡，以下情況發生過幾次？,"In the last two full weeks of school, how often did the following things occur?",我上學遲到,I arrived late for school,從不 | 一到兩次 | 三到四次 | 五次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | One or two times | Three or four times | Five or more times | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
ST071Q01NA,ST071,,,這學年，除了學校規定的課程之外，你每週大約花多少小時在以下科目的學習上？,"This school year, approximately how many hours per week do you spend learning in addition to your required school schedule in the following subjects?",額外學習時數 —— 科學,Learning in addition (how many hours) - Science,,,,,
ST071Q06DA,ST071,,,這學年，除了學校規定的課程之外，你每週大約花多少小時在以下科目的學習上？,"This school year, approximately how many hours per week do you spend learning in addition to your required school schedule in the following subjects?",額外學習時數 —— 其他科目,Learning in addition (how many hours) - Other subjects,,,,,
ST092Q01TA,ST092,環境議題認識程度,Students' environmental awareness,你對以下環境議題的了解程度如何？,How informed are you about the following environmental issues?,大氣中溫室氣體增加,The increase of greenhouse gases in the atmosphere,我從沒聽過 | 我聽過，但沒辦法說明它到底是什麼 | 我知道一些，能說明大致的問題 | 我很熟悉，能清楚說明 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,我從沒聽過=4.58 | 我聽過，但沒辦法說明它到底是什麼=18.39 | 我知道一些，能說明大致的問題=60.89 | 我很熟悉，能清楚說明=16.14,我從沒聽過=14.78 | 我聽過，但沒辦法說明它到底是什麼=28.05 | 我知道一些，能說明大致的問題=35.95 | 我很熟悉，能清楚說明=21.21,Table I.B1.5.6
ST092Q04TA,ST092,環境議題認識程度,Students' environmental awareness,你對以下環境議題的了解程度如何？,How informed are you about the following environmental issues?,核廢料,Nuclear waste,我從沒聽過 | 我聽過，但沒辦法說明它到底是什麼 | 我知道一些，能說明大致的問題 | 我很熟悉，能清楚說明 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,我從沒聽過=3.97 | 我聽過，但沒辦法說明它到底是什麼=29.4 | 我知道一些，能說明大致的問題=55.91 | 我很熟悉，能清楚說明=10.72,我從沒聽過=13.92 | 我聽過，但沒辦法說明它到底是什麼=40.61 | 我知道一些，能說明大致的問題=33.25 | 我很熟悉，能清楚說明=12.22,Table I.B1.5.6
ST092Q05TA,ST092,環境議題認識程度,Students' environmental awareness,你對以下環境議題的了解程度如何？,How informed are you about the following environmental issues?,為了其他土地用途而砍伐森林的後果,The consequences of clearing forests for other land use,我從沒聽過 | 我聽過，但沒辦法說明它到底是什麼 | 我知道一些，能說明大致的問題 | 我很熟悉，能清楚說明 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,我從沒聽過=3.94 | 我聽過，但沒辦法說明它到底是什麼=17.44 | 我知道一些，能說明大致的問題=60.94 | 我很熟悉，能清楚說明=17.68,我從沒聽過=9.92 | 我聽過，但沒辦法說明它到底是什麼=22.9 | 我知道一些，能說明大致的問題=41.28 | 我很熟悉，能清楚說明=25.89,Table I.B1.5.6
ST092Q08NA,ST092,環境議題認識程度,Students' environmental awareness,你對以下環境議題的了解程度如何？,How informed are you about the following environmental issues?,動植物滅絕,Extinction of plants and animals,我從沒聽過 | 我聽過，但沒辦法說明它到底是什麼 | 我知道一些，能說明大致的問題 | 我很熟悉，能清楚說明 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,我從沒聽過=2.99 | 我聽過，但沒辦法說明它到底是什麼=17.5 | 我知道一些，能說明大致的問題=61.8 | 我很熟悉，能清楚說明=17.71,我從沒聽過=5.98 | 我聽過，但沒辦法說明它到底是什麼=18.99 | 我知道一些，能說明大致的問題=45.1 | 我很熟悉，能清楚說明=29.93,Table I.B1.5.6
ST092Q09NA,ST092,環境議題認識程度,Students' environmental awareness,你對以下環境議題的了解程度如何？,How informed are you about the following environmental issues?,水資源短缺,Water shortages,我從沒聽過 | 我聽過，但沒辦法說明它到底是什麼 | 我知道一些，能說明大致的問題 | 我很熟悉，能清楚說明 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,我從沒聽過=2.85 | 我聽過，但沒辦法說明它到底是什麼=14.79 | 我知道一些，能說明大致的問題=62.76 | 我很熟悉，能清楚說明=19.6,我從沒聽過=7.7 | 我聽過，但沒辦法說明它到底是什麼=24.26 | 我知道一些，能說明大致的問題=43.13 | 我很熟悉，能清楚說明=24.91,Table I.B1.5.6
ST092Q14DA,ST092,環境議題認識程度,Students' environmental awareness,你對以下環境議題的了解程度如何？,How informed are you about the following environmental issues?,塑膠污染的影響,Effects of plastic pollution,我從沒聽過 | 我聽過，但沒辦法說明它到底是什麼 | 我知道一些，能說明大致的問題 | 我很熟悉，能清楚說明 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,我從沒聽過=2.91 | 我聽過，但沒辦法說明它到底是什麼=13.06 | 我知道一些，能說明大致的問題=62.68 | 我很熟悉，能清楚說明=21.35,我從沒聽過=5.81 | 我聽過，但沒辦法說明它到底是什麼=18.09 | 我知道一些，能說明大致的問題=43.53 | 我很熟悉，能清楚說明=32.57,Table I.B1.5.6
ST094Q01NA,ST094,享受科學（樂趣）,Students' enjoyment of science,你對以下關於你自己的描述，有多不同意或多同意？,How much do you disagree or agree with the statements about yourself below?,我在學習〈廣義科學〉主題時，通常覺得很有趣,I generally have fun when I am learning <broad science> topics,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常不同意=9.5 | 不同意=26.28 | 同意=50.55 | 非常同意=13.67,非常不同意=14.61 | 不同意=24.95 | 同意=45.99 | 非常同意=14.45,Table I.B1.3.53
ST094Q03NA,ST094,享受科學（樂趣）,Students' enjoyment of science,你對以下關於你自己的描述，有多不同意或多同意？,How much do you disagree or agree with the statements about yourself below?,我很樂於研究〈廣義科學〉的主題,I am happy working on <broad science> topics,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.3.53
ST094Q04NA,ST094,享受科學（樂趣）,Students' enjoyment of science,你對以下關於你自己的描述，有多不同意或多同意？,How much do you disagree or agree with the statements about yourself below?,我喜歡獲得〈廣義科學〉的新知識,I enjoy acquiring new knowledge in <broad science>,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.3.53
ST094Q05NA,ST094,享受科學（樂趣）,Students' enjoyment of science,你對以下關於你自己的描述，有多不同意或多同意？,How much do you disagree or agree with the statements about yourself below?,我對學習〈廣義科學〉有興趣,I am interested in learning about <broad science>,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.3.53
ST097Q01TA,ST097,科學課的秩序與紀律,Disciplinary climate in school science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,學生不聽老師說的話,Students do not listen to what the teacher said,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=2.62 | 大多數課堂=8.42 | 部分課堂=43.14 | 從不或幾乎從不=45.82,每一堂課=9.5 | 大多數課堂=19.38 | 部分課堂=47.94 | 從不或幾乎從不=23.17,Table I.B1.4.132
ST097Q02TA,ST097,科學課的秩序與紀律,Disciplinary climate in school science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,吵鬧、秩序混亂,There is noise and disorder,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=3.31 | 大多數課堂=12.24 | 部分課堂=50.16 | 從不或幾乎從不=34.3,每一堂課=10.08 | 大多數課堂=20.93 | 部分課堂=45.15 | 從不或幾乎從不=23.83,Table I.B1.4.132
ST097Q03TA,ST097,科學課的秩序與紀律,Disciplinary climate in school science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,老師要等很久學生才安靜下來,The teacher has to wait a long time for students to quiet down,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=2.98 | 大多數課堂=9.69 | 部分課堂=39.46 | 從不或幾乎從不=47.87,每一堂課=7.97 | 大多數課堂=16.4 | 部分課堂=40.46 | 從不或幾乎從不=35.17,Table I.B1.4.132
ST097Q04TA,ST097,科學課的秩序與紀律,Disciplinary climate in school science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,學生無法好好做事,Students cannot work well,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=3.3 | 大多數課堂=9.76 | 部分課堂=41.51 | 從不或幾乎從不=45.43,每一堂課=6.05 | 大多數課堂=13.37 | 部分課堂=41.05 | 從不或幾乎從不=39.53,Table I.B1.4.132
ST097Q05TA,ST097,科學課的秩序與紀律,Disciplinary climate in school science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,上課開始後很久，學生還沒開始做事,Students do not start working for a long time after the lesson begins,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=3.8 | 大多數課堂=11.83 | 部分課堂=41.62 | 從不或幾乎從不=42.75,每一堂課=7.41 | 大多數課堂=16.18 | 部分課堂=38.46 | 從不或幾乎從不=37.95,Table I.B1.4.132
ST097Q06DA,ST097,科學課的秩序與紀律,Disciplinary climate in school science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,學生因為使用〈數位資源〉（例如智慧型手機、網站、應用程式）而分心,"Students get distracted by using <digital resources> (e.g. smartphones, websites, apps)",每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.132
ST100Q01TA,ST100,科學課的教師支持,Teacher support in science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,老師對每一位學生的學習都展現關心,The teacher shows an interest in every student’s learning,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=40.81 | 大多數課堂=38.12 | 部分課堂=17.77 | 從不或幾乎從不=3.3,每一堂課=35.85 | 大多數課堂=33.0 | 部分課堂=21.63 | 從不或幾乎從不=9.52,Table I.B1.4.113
ST100Q02TA,ST100,科學課的教師支持,Teacher support in science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,學生需要時，老師會額外給予協助,The teacher gives extra help when students need it,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=51.45 | 大多數課堂=33.02 | 部分課堂=12.51 | 從不或幾乎從不=3.02,每一堂課=41.22 | 大多數課堂=31.54 | 部分課堂=19.46 | 從不或幾乎從不=7.79,Table I.B1.4.113
ST100Q03TA,ST100,科學課的教師支持,Teacher support in science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,老師協助學生學習,The teacher helps students with their learning,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=53.86 | 大多數課堂=32.44 | 部分課堂=11.09 | 從不或幾乎從不=2.62,每一堂課=44.15 | 大多數課堂=30.96 | 部分課堂=17.74 | 從不或幾乎從不=7.15,Table I.B1.4.113
ST100Q04TA,ST100,科學課的教師支持,Teacher support in science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,老師會持續教到學生聽懂為止,The teacher continues teaching until the students understand,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=40.47 | 大多數課堂=32.02 | 部分課堂=23.03 | 從不或幾乎從不=4.48,每一堂課=36.59 | 大多數課堂=29.75 | 部分課堂=23.09 | 從不或幾乎從不=10.57,Table I.B1.4.113
ST100Q05TA,ST100,科學課的教師支持,Teacher support in science lessons,在你的〈學校科學課〉上，以下情況多常發生？,How often do these things happen in your <school science> lessons?,老師給學生表達意見的機會,The teacher gives students an opportunity to express opinions,每一堂課 | 大多數課堂 | 部分課堂 | 從不或幾乎從不 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,每一堂課=48.75 | 大多數課堂=32.93 | 部分課堂=15.28 | 從不或幾乎從不=3.05,每一堂課=40.09 | 大多數課堂=30.27 | 部分課堂=20.1 | 從不或幾乎從不=9.55,Table I.B1.4.113
ST104Q03NA,ST104,,,在你這門〈學校科學課〉的課堂上，以下情況多常發生？,How often do these things happen in your lessons for this <school science> course?,老師告訴我還有哪些地方可以進步,The teacher tells me in which areas I can still improve,從不或幾乎從不 | 部分課堂 | Many lessons | Every lesson or almost every lesson | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | Some lessons | Many lessons | Every lesson or almost every lesson | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
ST104Q04NA,ST104,,,在你這門〈學校科學課〉的課堂上，以下情況多常發生？,How often do these things happen in your lessons for this <school science> course?,老師告訴我可以如何提升表現,The teacher tells me how I can improve my performance,從不或幾乎從不 | 部分課堂 | Many lessons | Every lesson or almost every lesson | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never or almost never | Some lessons | Many lessons | Every lesson or almost every lesson | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
ST125Q01NA,ST125,,,你開始就讀〈學前教育〉時幾歲？,How old were you when you started <ISCED 0>?,你開始就讀〈學前教育〉時幾歲？,How old were you when you started <ISCED 0>?,1 year or younger | 2 years | 3 years | 4 years | 5 years | 6 years or older | I did not attend <ISCED 0> | I attended <ISCED 0> but do not remember when I started | I do not know if I attended <ISCED 0>,1 year or younger | 2 years | 3 years | 4 years | 5 years | 6 years or older | I did not attend <ISCED 0> | I attended <ISCED 0> but do not remember when I started | I do not know if I attended <ISCED 0>,,,
ST127Q01TA,ST127,,,你曾經留級過嗎？,Have you ever repeated a <grade>?,在〈國小階段〉留級,Repeated at <ISCED 1>,否，從未 | 是，一次 | 是，兩次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,"No, never | Yes, once | Yes, twice or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
ST127Q02TA,ST127,,,你曾經留級過嗎？,Have you ever repeated a <grade>?,在〈國中階段〉留級,Repeated at <ISCED 2>,否，從未 | 是，一次 | 是，兩次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,"No, never | Yes, once | Yes, twice or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
ST127Q03TA,ST127,,,你曾經留級過嗎？,Have you ever repeated a <grade>?,在〈高中階段〉留級,Repeated at <ISCED 3>,否，從未 | 是，一次 | 是，兩次以上 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,"No, never | Yes, once | Yes, twice or more | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
ST129Q03TA,ST129,,,你認為自己獨力完成下列任務的難易程度如何？,How easy do you think it would be for you to perform the following tasks on your own?,說明抗生素在疾病治療中的作用,Describe the role of antibiotics in the treatment of disease,我可以輕鬆做到 | 我稍微努力就能做到 | 我自己做會很吃力 | I couldn’t do this | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,I could do this easily | I could do this with a bit of effort | I would struggle to do this on my own | I couldn’t do this | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
