代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,中文來源,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
SC011Q01TA,SC011,,,下列哪個敘述最符合貴校所在地區可提供給學生的就學機會？,Which of the following statements best describes the schooling available to students in your location?,,,Which of the following statements best describes the schooling available to students in your location?,There are two or more other schools in this area that compete for our students | There is one other school in this area that competes for our students | There are no other schools in this area that compete for our students | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,There are two or more other schools in this area that compete for our students | There is one other school in this area that competes for our students | There are no other schools in this area that compete for our students | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q01TA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生的學業成績（包括學力測驗）,官方,Student’s record of academic performance (including placement tests),從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q02TA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,前一階段畢業學校之推薦,官方,Recommendation of feeder schools,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q03TA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,家長或監護人贊同學校的教育宗旨或宗教理念,官方,Parents’ or guardians’ endorsement of the instructional or religious philosophy of the school,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q04TA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生對某特定學程的需求或興趣,官方,Whether the student requires or is interested in a special programme,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q05TA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,優先考慮在校學生或校友的家庭成員,官方,Preference given to family members of current or former students,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q06TA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,特定的居住區域,官方,Residence in a particular area,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q08JA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生在本校或其他學校的操行紀錄,官方,Student’s disciplinary record in this or another school,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q10JA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生是否為父母身份或懷孕,官方,Student’s parental status or pregnancy,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q11JA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生的工作狀況,官方,Student’s working status,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q12JA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生的文化或種族背景,官方,Student’s cultural or ethnic background,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC012Q13DA,SC012,,,貴校在招生時，有多常考慮下列因素？,How often are the following factors considered when students are admitted to your school?,學生是否有特殊學習需求,官方,Whether the student has special learning needs,從不 | 有時 | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Sometimes | Always | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC013Q01TA,SC013,,,貴校是公立學校或私立學校？,Is your school a public or a private school?,,,Is your school a public or a private school?,A public school | A private school,A public school | A private school,,,
SC016Q01TA_Q,SC016,,,下列各項經費來源，在一般學年中分別佔貴校總經費多少百分比？,About what percentage of your total funding for a typical school year comes from the following sources?,,,"Government (includes departments, local, regional, state and national)",From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,,,
SC016Q02TA_Q,SC016,,,下列各項經費來源，在一般學年中分別佔貴校總經費多少百分比？,About what percentage of your total funding for a typical school year comes from the following sources?,,,Student fees or school charges paid by parents or guardians,From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,,,
SC016Q03TA_Q,SC016,,,下列各項經費來源，在一般學年中分別佔貴校總經費多少百分比？,About what percentage of your total funding for a typical school year comes from the following sources?,,,"Benefactors, donations, bequests, sponsorships, parent or guardian fundraising",From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,,,
SC016Q04TA_Q,SC016,,,下列各項經費來源，在一般學年中分別佔貴校總經費多少百分比？,About what percentage of your total funding for a typical school year comes from the following sources?,,,Other,From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,From 0 to 25% | More than 25% to 50% | More than 50% to 75% | More than 75% | not administered/not applicable | no response,,,
SC017Q01NA,SC017,教育人力不足,Shortage of education staff,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,缺乏教學人員,官方,A lack of teaching staff,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=23.95 | 很少=47.86 | 有一些=25.82 | A lot=2.37,完全不會=28.78 | 很少=32.25 | 有一些=28.85 | A lot=10.12,Table I.B1.4.71
SC017Q02NA,SC017,教育人力不足,Shortage of education staff,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,不適任或是不稱職的教學人員,官方,Inadequate or poorly qualified teaching staff,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=19.32 | 很少=70.22 | 有一些=8.68 | A lot=1.78,完全不會=35.97 | 很少=39.52 | 有一些=20.12 | A lot=4.39,Table I.B1.4.71
SC017Q03NA,SC017,教育人力不足,Shortage of education staff,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,缺乏職員,官方,A lack of assisting staff,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=35.09 | 很少=45.08 | 有一些=17.32 | A lot=2.5,完全不會=32.76 | 很少=28.67 | 有一些=25.72 | A lot=12.85,Table I.B1.4.71
SC017Q04NA,SC017,教育人力不足,Shortage of education staff,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,不適任或是不稱職的職員,官方,Inadequate or poorly qualified assisting staff,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=37.36 | 很少=54.0 | 有一些=7.67 | A lot=0.97,完全不會=47.71 | 很少=31.06 | 有一些=15.72 | A lot=5.5,Table I.B1.4.71
SC017Q05NA,SC017,教學材料不足,Shortage of educational material,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,缺乏教學材料（例如︰教科書、資訊科技設備、圖書館資料或實驗室器材）,官方,"A lack of educational material (e.g., textbooks, IT equipment, library or laboratory material)",完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=60.28 | 很少=33.21 | 有一些=6.44 | A lot=0.07,完全不會=43.79 | 很少=29.13 | 有一些=20.24 | A lot=6.85,Table I.B1.4.83
SC017Q06NA,SC017,教學材料不足,Shortage of educational material,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,不適當或不合格的教學材料（例如︰教科書、資訊科技設備、圖書館資料或實驗室器材）,官方,"Inadequate or poor quality educational material (e.g., textbooks, IT equipment, library or laboratory material)",完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=64.86 | 很少=28.85 | 有一些=6.21 | A lot=0.07,完全不會=44.25 | 很少=31.46 | 有一些=19.11 | A lot=5.18,Table I.B1.4.83
SC017Q07NA,SC017,教學材料不足,Shortage of educational material,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,缺乏基礎設施（例如︰校舍、操場、暖氣／冷氣、照明及音響設備）,官方,"A lack of physical infrastructure (e.g., building, grounds, heating/cooling, lighting and acoustic systems)",完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=60.79 | 很少=31.48 | 有一些=6.82 | A lot=0.91,完全不會=40.36 | 很少=26.83 | 有一些=20.57 | A lot=12.24,Table I.B1.4.83
SC017Q08NA,SC017,教學材料不足,Shortage of educational material,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,不適當或不合格的基礎設施（例如︰校舍、操場、暖氣／冷氣、照明及音響設備）,官方,"Inadequate or poor quality physical infrastructure (e.g., building, grounds, heating/cooling, lighting and acoustic systems)",完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,完全不會=63.8 | 很少=28.65 | 有一些=7.37 | A lot=0.18,完全不會=40.27 | 很少=28.17 | 有一些=20.57 | A lot=10.99,Table I.B1.4.83
SC017Q09JA,SC017,教育人力不足,Shortage of education staff,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,缺乏數位資源（例如：桌上型電腦或筆記型電腦、網際網路連線、學習管理系統或學校學習平台）,官方,"A lack of <digital resources> (e.g. desktop or laptop computers, internet access, learning management systems or school learning platforms)",完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.71
SC017Q10JA,SC017,教育人力不足,Shortage of education staff,貴校提供教學的能力是否受到下列問題的阻礙？,Is your school’s capacity to provide instruction hindered by any of the following issues?,不適當或品質不好的數位資源（例如：桌上型電腦或筆記型電腦、網際網路連線、學習管理系統或學校學習平台）,官方,"Inadequate or poor quality <digital resources> (e.g. desktop or laptop computers, internet access, learning management systems or school learning platforms)",完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.71
SC018Q01TA_01_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers in TOTAL (full time),Bottom international quartile - Median: 9 | Second international quartile - Median: 22 | Third international quartile - Median: 42 | Top international quartile - Median: 83 | not administered/not applicable | no response,Bottom international quartile - Median: 9 | Second international quartile - Median: 22 | Third international quartile - Median: 42 | Top international quartile - Median: 83 | not administered/not applicable | no response,,,
SC018Q01TA_02_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers in TOTAL (part time),Bottom international quartile - Median: 0 | Second international quartile - Median: 3 | Third international quartile - Median: 8 | Top international quartile - Median: 23 | not administered/not applicable | no response,Bottom international quartile - Median: 0 | Second international quartile - Median: 3 | Third international quartile - Median: 8 | Top international quartile - Median: 23 | not administered/not applicable | no response,,,
SC018Q02TA_01_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers <fully certified> by <the appropriate authority> (full time),Bottom international quartile - Median: 3 | Second international quartile - Median: 16 | Third international quartile - Median: 36 | Top international quartile - Median: 76 | not administered/not applicable | no response,Bottom international quartile - Median: 3 | Second international quartile - Median: 16 | Third international quartile - Median: 36 | Top international quartile - Median: 76 | not administered/not applicable | no response,,,
SC018Q02TA_02_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers <fully certified> by <the appropriate authority> (part time),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 5 | Top international quartile - Median: 19 | not administered/not applicable | no response,Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 5 | Top international quartile - Median: 19 | not administered/not applicable | no response,,,
SC018Q08JA_01_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers with an <ISCED Level 6 –Bachelor’s or equivalent level> qualification (full time),Bottom international quartile - Median: 1 | Second international quartile - Median: 9 | Third international quartile - Median: 25 | Top international quartile - Median: 63 | not administered/not applicable | no response,Bottom international quartile - Median: 1 | Second international quartile - Median: 9 | Third international quartile - Median: 25 | Top international quartile - Median: 63 | not administered/not applicable | no response,,,
SC018Q08JA_02_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers with an <ISCED Level 6 –Bachelor’s or equivalent level> qualification (part time),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 3 | Top international quartile - Median: 13 | not administered/not applicable | no response,Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 3 | Top international quartile - Median: 13 | not administered/not applicable | no response,,,
SC018Q09JA_01_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers with an <ISCED Level 7 – Master’s or equivalent level> qualification (full time),Bottom international quartile - Median: 0 | Second international quartile - Median: 3 | Third international quartile - Median: 10 | Top international quartile - Median: 35 | not administered/not applicable | no response,Bottom international quartile - Median: 0 | Second international quartile - Median: 3 | Third international quartile - Median: 10 | Top international quartile - Median: 35 | not administered/not applicable | no response,,,
SC018Q09JA_02_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers with an <ISCED Level 7 – Master’s or equivalent level> qualification (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
SC018Q10JA_01_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers with an <ISCED Level 8 – Doctoral or equivalent level> qualification (full time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
SC018Q10JA_02_Q,SC018,,,貴校在下列各項的教師人數為何？,How many of the following teachers are on the staff of your school?,,,Teachers with an <ISCED Level 8 – Doctoral or equivalent level> qualification (part time),Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
SC025Q01NA,SC025,,,在過去三個月裡，貴校有多少百分比的師資，參與了教師專業成長計,"During the last three months, what percentage of teaching staff in your school has attended a programme of professional development?",貴校的所有師資,官方,All teaching staff at your school,,,,,
SC025Q02NA,SC025,,,在過去三個月裡，貴校有多少百分比的師資，參與了教師專業成長計,"During the last three months, what percentage of teaching staff in your school has attended a programme of professional development?",貴校科學教學人員42SC265 在本學年，貴校有多少教師曾參加以下主題的專業發展？沒有或幾乎沒有有一些大部分全部或幾乎全部,官方,Science teaching staff at your school,,,,,
SC032Q01TA,SC032,,,在本學年，貴校是否使用下列方法來監督貴校教師的教學？,"During <the last academic year>, have any of the following methods been used to monitor the practice of teachers at your school?",學生的評量或測驗表現,官方,Tests or assessments of student achievement,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC032Q02TA,SC032,,,在本學年，貴校是否使用下列方法來監督貴校教師的教學？,"During <the last academic year>, have any of the following methods been used to monitor the practice of teachers at your school?",教師同儕評鑑（針對課程計劃、評量工具、課程）,官方,"Teacher peer review (of lesson plans, assessment instruments, lessons)",是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC032Q03TA,SC032,,,在本學年，貴校是否使用下列方法來監督貴校教師的教學？,"During <the last academic year>, have any of the following methods been used to monitor the practice of teachers at your school?",校長或資深教職員的課堂觀察,官方,Principal or senior staff observations of lessons,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC032Q04TA,SC032,,,在本學年，貴校是否使用下列方法來監督貴校教師的教學？,"During <the last academic year>, have any of the following methods been used to monitor the practice of teachers at your school?",督學或校外其他人士的課堂觀察,官方,Observation of classes by inspectors or other persons external to the school,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC034Q01NA,SC034,學校的學生評量方式,Student assessment practices at school,一般來說，貴校使用下列方法評量高一（或國三）學生的頻率為何？,"Generally, in your school, how often are students <in national modal grade for 15-year-olds> assessed using the following methods?",強制性標準化測驗，例如段考和期末考,官方,"Mandatory <standardised tests>, e.g. <country specific example>",從不 | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,Never | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,,,Table I.B1.4.176
SC034Q02NA,SC034,學校的學生評量方式,Student assessment practices at school,一般來說，貴校使用下列方法評量高一（或國三）學生的頻率為何？,"Generally, in your school, how often are students <in national modal grade for 15-year-olds> assessed using the following methods?",非強制性標準化測驗（例如：公用的或商業機構販售的標準化測驗問題，如國中教育會考模擬考或大學學科能力測驗模擬考）,官方,Non-mandatory <standardised tests> (e.g. publicly or commercially available standardised test material like <country specif,從不 | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,Never | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,,,Table I.B1.4.176
SC034Q03TA,SC034,學校的學生評量方式,Student assessment practices at school,一般來說，貴校使用下列方法評量高一（或國三）學生的頻率為何？,"Generally, in your school, how often are students <in national modal grade for 15-year-olds> assessed using the following methods?",教師自編測驗,官方,Teacher-developed tests,從不 | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,Never | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,從不=1.9 | 1-2 times per year=4.42 | 3-5 times per year=9.71 | Monthly=18.81 | More than once a month=65.16,從不=2.85 | 1-2 times per year=7.54 | 3-5 times per year=27.62 | Monthly=26.33 | More than once a month=35.66,Table I.B1.4.176
SC034Q04TA,SC034,學校的學生評量方式,Student assessment practices at school,一般來說，貴校使用下列方法評量高一（或國三）學生的頻率為何？,"Generally, in your school, how often are students <in national modal grade for 15-year-olds> assessed using the following methods?",教師的判斷評價,官方,Teachers’ judgmental ratings,從不 | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,Never | 1-2 times a year | 3-5 times a year | Monthly | More than once a month,從不=4.76 | 1-2 times per year=15.37 | 3-5 times per year=15.12 | Monthly=17.97 | More than once a month=46.77,從不=9.0 | 1-2 times per year=12.46 | 3-5 times per year=19.5 | Monthly=15.97 | More than once a month=43.07,Table I.B1.4.176
SC035Q01NA_A,SC035,,,貴校是否將高一（或國三）學生的標準化測驗和／或教師自編測驗用於下列目的,"In your school, are <standardised tests> and/or teacher-developed tests of students in <national modal grade for 15-year-olds> used for any of the following purposes?",,,To guide students’ learning (<Standardised-tests>),是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC035Q01NA_B,SC035,,,貴校是否將高一（或國三）學生的標準化測驗和／或教師自編測驗用於下列目的,"In your school, are <standardised tests> and/or teacher-developed tests of students in <national modal grade for 15-year-olds> used for any of the following purposes?",,,To guide students’ learning (Teacher-developed tests),是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC035Q02TA_A,SC035,,,貴校是否將高一（或國三）學生的標準化測驗和／或教師自編測驗用於下列目的,"In your school, are <standardised tests> and/or teacher-developed tests of students in <national modal grade for 15-year-olds> used for any of the following purposes?",,,To inform parents or guardians about their child’s progress (<Standardised-tests>),是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
SC035Q02TA_B,SC035,,,貴校是否將高一（或國三）學生的標準化測驗和／或教師自編測驗用於下列目的,"In your school, are <standardised tests> and/or teacher-developed tests of students in <national modal grade for 15-year-olds> used for any of the following purposes?",,,To inform parents or guardians about their child’s progress (Teacher-developed tests),是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
