代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,中文來源,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
IC171Q01JA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",桌上型電腦或筆記型電腦,官方,Desktop or laptop computer,從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q02JA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",智慧型手機（即可上網的手機),官方,Smartphone (i.e. mobile phone with Internet access),從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q03JA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",平板設備（如iPad®、GalaxyTablet®）或電子書閱讀器（如Kobo®、mooInk）,官方,"<Tablet device> (e.g.<iPad®>, <Galaxy Tablet®>,) or <e-book reader> (e.g., <Amazon® Kindle™>",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q04JA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",網路連結（智慧型手機除外）,官方,Internet access (except on smartphones),從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q05JA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",教育軟體、遊戲或應用程式、其他學習工具（如 CK-12™、Lucidchart或 Mathalicious®線上支援）,官方,"Educational software, games or Apps, other learning tools (e.g. <CK-12™> ™>, <Lucidchart>, or",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q06JA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",電動或線上遊戲（例如：用於 PlayStation 5® 或Nintendo Switch®等遊戲機、Steam® 等線上遊戲平台或 CandyCrush® 等遊戲應用程式）,官方,Video or online games (e.g. used with game consoles such as a < Play Station 5®> or <Nintendo Sw,從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q07DA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",智慧型手錶（例如：Apple Watch®、SamsungGalaxy Watch®、Garmin、小米手環，或健身追蹤器，如 FitBit®）,官方,"Smartwatch (e.g. <Apple Watch®>, <Samsung Galaxy Watch®> or fitness tracker (e.g. <FitBit®>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q08DA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",虛擬實境 (VR) 穿戴裝置（例如：GoogleCardboard®、Oculus、ClassVR）,官方,"<Virtual reality (VR)> hardware (e.g. <Google Cardboard®>, <Oculus>, <Class VR>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q09DA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?",機器人設備（例如3D 列印、雷射切割機、無人機）,官方,"Robotic devices (e.g <3D printers>, <laser cutters>, <drones>)",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC171Q10DA,IC171,,,本學年，你在校外（例如：在家裡或你通常可以,"This school year, how often did you use the following <digital resources> outside of school (e.g., at home or where you usually access <digital resources>)?","人工智慧(AI)工具或軟體（如ChatGPT、MidJourney、Stable Diffusion,Tome, PicCraft）",官方,"<Artificial Intelligence (AI)> tools or software (e.g. <ChatGPT>, <MidJourney>, <Stable Diffusion",從不或幾乎從不 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天 | Several times a day | This resource is not available to me outside school,Never or almost never | About once or twice a month | About once or twice a week | Every day or almost every day | Several times a day | This resource is not available to me outside school,,,
IC172Q01JA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校的每個學生都有足夠的數位資源,官方,There are enough <digital resources> for every student at my school.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.14
IC172Q02JA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校有足夠可以上網的數位裝置,官方,There are enough digital devices with access to the Internet at my school.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.14
IC172Q03JA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校的網速足夠快,官方,The school’s Internet speed is sufficient.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,非常不同意=1.95 | 不同意=7.08 | 同意=56.77 | 非常同意=34.2,非常不同意=9.21 | 不同意=17.32 | 同意=39.14 | 非常同意=34.33,Table I.B1.4.14
IC172Q04JA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校的數位資源運作正常,官方,<Digital resources> function properly at my school.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.14
IC172Q07JA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校提供足夠的技術支援，幫助學生使用數位資源,官方,The school provides sufficient technical support to help students in their use of <digital resources>.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.14
IC172Q08JA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校老師具備在教學過程中使用數位裝置的必要技能,官方,Teachers at my school have the necessary skills to use digital devices during instruction.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.14
IC172Q10DA,IC172,學校運用數位裝置強化教學的能力,School's capacity to enhance teaching and learning using digital devices,下列敘述你同意的程度為何？,To what extent do you agree or disagree with the following statements?,學校的網路很穩定,官方,The school’s Internet is stable.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,Table I.B1.4.14
IC173Q01JA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,國語,官方,<Test language>,從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC173Q02JA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,數學,官方,Mathematics,從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC173Q03JA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,自然科學,官方,<Science>,從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC173Q05DA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,人文科學／人文學科／社會學科（例如歷史、地理、公民、法律、經濟）,官方,"Human sciences/Humanities /Social studies (e.g., history, geography, civics, law, economics)",從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC173Q06DA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,創意藝術（例如視覺藝術、音樂、舞蹈、戲劇）,官方,"Creative arts (e.g., visual arts, music, dance, drama)",從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC173Q07DA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,英文,官方,<Foreign language(s)>,從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC173Q08DA,IC173,,,在以下科目的課堂上，你有多常用數位資源？,How often do you use <digital resources> during the lessons in the following subjects?,實用或職業科目（例如機械與修理、醫療保健行業、建築行業）,官方,"<Practical or vocational subjects> (e.g., <mechanics and repair>, <healthcare occupations>, <construction trades>)",從不或幾乎從不 | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,Never or almost never | In less than half of the lessons | In about half of the lessons | In more than half of the lessons | In every or almost every lesson | I do not have this subject,,,
IC175Q01JA,IC175,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",閱讀或聆聽老師對我的作業或學習狀況的回饋,官方,Read or listen to feedback sent by my teachers regarding my work or academic results,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC175Q02JA,IC175,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",閱讀或聆聽其他同學對我的作業的回饋,官方,Read or listen to feedback sent by other students on my work,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC175Q03JA,IC175,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",閱讀或聆聽由教育軟體或應用程式自動為我選取的回饋,官方,Read or listen to feedback automatically selected for me by an educational software or App,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC175Q05JA,IC175,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",使用教育軟體或應用程式來進行習題的練習,官方,Work on drill and practice exercises using an educational software or App,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q01JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",查看我某些作業（例如：家庭作業或考試）的成績或結果,官方,See my grades or results from specific assignments (e.g. homework or tests),從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q02JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",為了學校作業而瀏覽上網（例如：為寫作文或報告搜集資料）,官方,Browse the Internet for schoolwork (e.g. for preparing an essay or presentation),從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q03JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",為了跟上課程而瀏覽上網（例如：查找解釋）,官方,Browse the Internet to follow up lessons (e.g. for finding explanations),從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q04JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",接收或下載老師（透過數位資源）所分派的作業或教學資料,官方,Receive or download assignments or instructions (via <digital resources>) from my teacher,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q05JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",將我的作業（例如：文件或報告）上傳到學校入口網站或其他平台，與我的老師和/或同學分享資料,官方,Upload my work (e.g. documents or presentations) to a school portal or another platform to share materials with my teacher and/or students,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q06JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",與我的老師溝通,官方,Communicate with my teacher,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q07JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",與其他同學溝通討論學校作業,官方,Communicate with other students about schoolwork,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC176Q08JA,IC176,,,本學年，你有多常使用數位資源進行以下活動？,"This school year, how often did you use <digital resources> for the following activities?",搜尋與學校有關的活動或作業的資訊,官方,Search for information on school-related activities or assignments,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
IC177Q01JA,IC177,數位裝置上的休閒活動,Leisure activities on digital devices on a typical weekday,在平常週一至週五的一天中，你花多少時間做下,"During a typical weekday, how much time do you spend doing the following leisure activities?",玩電動遊戲（使用我的智慧型手機、遊戲機或線上平台或應用程式）,官方,"Play video-games (using my smartphone, a gaming console or an online platform or Apps)",No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all=11.19 | Less than 1 hour a day=23.12 | Between 1 and 3 hours a day=35.41 | More than 3 hours and up to 5 hours a day=16.14 | More than 5 hours and up to 7 hours a day=6.57 | More than 7 hours a day=7.56,No time at all=18.9 | Less than 1 hour a day=26.25 | Between 1 and 3 hours a day=30.36 | More than 3 hours and up to 5 hours a day=14.17 | More than 5 hours and up to 7 hours a day=5.81 | More than 7 hours a day=4.5,Table I.B1.4.37
IC177Q02JA,IC177,數位裝置上的休閒活動,Leisure activities on digital devices on a typical weekday,在平常週一至週五的一天中，你花多少時間做下,"During a typical weekday, how much time do you spend doing the following leisure activities?",瀏覽社群網路（例如：Instagram®、TikTok®(抖音)）,官方,"Browse social networks (e.g. <Instagram®>, <TikTok®>)",No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all=5.77 | Less than 1 hour a day=19.31 | Between 1 and 3 hours a day=43.1 | More than 3 hours and up to 5 hours a day=18.31 | More than 5 hours and up to 7 hours a day=6.97 | More than 7 hours a day=6.53,No time at all=5.53 | Less than 1 hour a day=14.32 | Between 1 and 3 hours a day=41.48 | More than 3 hours and up to 5 hours a day=23.54 | More than 5 hours and up to 7 hours a day=9.42 | More than 7 hours a day=5.7,Table I.B1.4.37
IC177Q03JA,IC177,數位裝置上的休閒活動,Leisure activities on digital devices on a typical weekday,在平常週一至週五的一天中，你花多少時間做下,"During a typical weekday, how much time do you spend doing the following leisure activities?",瀏覽上網（不包括社群網路）作娛樂用途（例如：閱讀新聞、收聽播客(podcasts)和音樂或觀看影片）,官方,"Browse the Internet (excluding social networks) for fun (e.g. reading news, listening to podcasts and music or watching videos)",No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all=14.83 | Less than 1 hour a day=32.18 | Between 1 and 3 hours a day=32.78 | More than 3 hours and up to 5 hours a day=11.6 | More than 5 hours and up to 7 hours a day=4.13 | More than 7 hours a day=4.48,No time at all=9.64 | Less than 1 hour a day=27.43 | Between 1 and 3 hours a day=34.89 | More than 3 hours and up to 5 hours a day=16.86 | More than 5 hours and up to 7 hours a day=6.64 | More than 7 hours a day=4.55,Table I.B1.4.37
IC177Q04JA,IC177,數位裝置上的休閒活動,Leisure activities on digital devices on a typical weekday,在平常週一至週五的一天中，你花多少時間做下,"During a typical weekday, how much time do you spend doing the following leisure activities?",在網路上搜尋實用資料（例如：查找地點、預訂火車票、購買產品）,官方,"Look for practical information online (e.g. find a place, book a train ticket, buy a product)",No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all | Less than 1 hour a day | Between 1 and 3 hours a day | More than 3 hours and up to 5 hours a day | More than 5 hours and up to 7 hours a day | More than 7 hours a day,No time at all=30.66 | Less than 1 hour a day=46.75 | Between 1 and 3 hours a day=13.76 | More than 3 hours and up to 5 hours a day=4.54 | More than 5 hours and up to 7 hours a day=2.07 | More than 7 hours a day=2.23,No time at all=22.43 | Less than 1 hour a day=44.68 | Between 1 and 3 hours a day=18.76 | More than 3 hours and up to 5 hours a day=8.66 | More than 5 hours and up to 7 hours a day=3.34 | More than 7 hours a day=2.12,Table I.B1.4.37
